"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"
"WP-18"	-0.110177093255031	-0.00786733848601116	0.0104882080931692	0.00515823899751933	0.0330269893380912	-0.0371637191103957	-0.129767421166171	0.0706277096148838	-0.0394338180807299	0.0686809665003832	0.121826624934216	0.0121663463613908	0.0528817973909227	0.0846119503958786	0.0524442782670107	-0.0732946476637387	0.0248364104074964	0.000963073515788165	0.0245800330239405	-0.0885365214890768
"WP-35"	-0.109832394639644	0.00862570623994926	-0.00132082482208318	0.0143566244757068	-0.00281500833477677	-0.0157517204154026	0.0579384710798135	-0.0230673745643947	-0.0099761210574393	0.0178475278020161	0.0251767414469148	-0.077560141456971	0.0148849650098316	-0.139497327021894	-0.0764234352944218	-0.000413104710605165	0.0322394289670759	-0.0291832126759478	0.0178924687842968	0.0421261184615264
"WP-43"	-0.112789481307074	0.0097663982585368	0.0219266841926822	-0.000171140790792554	-0.00646646202790194	-0.0327524247608822	-0.0982758623872989	0.0398121252326374	-0.0347148697886158	-0.0115626115355369	0.148916063330962	0.0566987667339947	0.0288900485058929	0.0372293190361375	0.0738534383981689	-0.0298463263847776	0.146792897568306	-0.0519888889771053	-0.0850035242729823	0.0277558497193434
"WP-51"	-0.0955756597831788	0.00514205188106938	0.016051928587896	0.00859798362493183	-0.0331465605342077	0.0199344539348286	-0.0874558814734865	-0.00102009585193867	-0.0658229237022706	0.0192890793757282	0.0324250613680476	-0.0249480868164392	0.0223865657764619	-0.0947127815752869	-0.0904800221677731	0.0117333130005548	0.0741651240575001	-0.115058205631619	0.0519772416135217	0.124165761280414
"WK16-11"	0.0918696276702227	0.18754216312911	-0.0979538472006842	0.132950079402184	0.0819409009838052	0.131675578600081	0.112483460110256	0.0328139510282659	0.00523121026720904	-0.0692237584443873	0.0664230520293356	-0.154146944118126	0.140088059844655	0.054827459242985	0.269325655283721	-0.0390867299780862	0.0709675912150862	-0.0980185340010783	-0.0445771366962699	-0.00136275126941719
"WK16-27"	0.120765862928539	0.0444857991825649	0.424341566296434	-0.110997917584875	0.134496789768045	-0.246916237715471	0.033118211872614	0.0128700975024636	-0.195619035313416	-0.17062726088986	0.192541611447829	0.103632266816687	-0.059529164335939	-0.00908440233837196	-0.119964066644781	0.139576259873798	0.0434739071532466	0.128283372743139	-0.0358412620669251	0.149529209629393
"WK16-40"	0.105618389589589	0.131183387257707	0.012028927388141	-0.0272048256897864	-0.0889971276147419	-0.128609544633335	-0.0322311367740287	-0.0993637631478003	0.0684915020968945	-0.0200058081275147	0.0422440175533378	-0.0716145644836813	-0.112010486743695	0.126446298032546	-0.141350468681247	0.0481976375835442	0.23786488066628	0.0100177252175457	0.172372180192296	0.0653159177407442
"WK16-56"	0.0915834358257489	0.0320337293775339	-0.0148741778099	-0.0980078680350247	0.1608188559305	0.238186557352731	-0.023921459129572	-0.213015574177121	0.0828604831648378	0.335030898367824	-0.123603972144698	-0.0675056034055542	-0.203818435362494	0.217320439935113	-0.228557127995788	0.102696653112016	-0.0223324447619976	0.128881957287222	-0.157052610949093	-0.0674798190470532
"WK16-73"	0.0851372689293143	-0.0323341602270305	0.119797197963906	0.146122181599095	-0.101420925631162	-0.120641257009751	0.0654941357780917	0.0109228431635106	-0.0291809673150257	0.107222317884386	-0.0812732066001076	0.0226384400131426	0.0873681617224802	-0.100123863299131	-0.170146214962583	0.0573732124522994	-0.113017847743951	-0.0100817036147043	0.0527455143511777	-0.0426592223257064
"WK16-90"	0.111982788235085	-0.0428542873658342	-0.00960784574408257	0.077414227944231	0.129488789221346	-0.152012540509691	-0.0841102496748272	0.077408251048931	0.012012614218553	-0.185755374585127	-0.164447160632145	0.0431348153563067	-0.112750134228158	0.0635126354704634	-0.100303694849502	-0.264572239386258	0.132118289056499	-0.0100790013343177	0.0235100060253208	-0.00743466896632204
